step_index,x,y
0,20.0,126.0
1,33.95,122.05
2,47.9,118.09
3,61.85,114.14
4,70.0,102.15
5,82.32,94.51
6,96.0,89.69
7,110.18,92.69
8,122.88,99.69
9,137.27,101.52
10,151.63,99.52
11,165.98,101.57
12,173.88,113.73
13,151.63,99.52
14,96.0,89.69
15,70.0,102.15
16,61.85,114.14
17,64.57,128.38
18,56.7,100.59
19,63.92,88.02
20,63.8,73.52
21,53.66,63.15
22,63.85,52.83
23,68.63,39.14
24,81.8,33.08
25,95.47,37.92
26,104.88,48.95
27,119.38,49.03
28,130.13,39.3
29,140.89,49.02
30,155.36,49.96
31,156.45,35.5
32,170.81,33.53
33,179.16,45.39
34,191.06,53.68
35,200.9,64.33
36,200.0,75.0
